chamber,code,name,party,district,sitting,first_session,last_session,roll_calls,committee_votes,page
House,KMO1,Keiko M. Orrall,Republican,12th Bristol,no,189,190,212,2,house/members/KMO1.html
House,DMD1,Daniel M. Donahue,Democrat,16th Worcester,yes,189,194,1374,17,house/members/DMD1.html
House,JJM2,John J. Mahoney,Democrat,13th Worcester,yes,189,194,1374,57,house/members/JJM2.html
House,S_G2,Steven Ultrino,Democrat,33rd Middlesex,yes,189,194,1374,136,house/members/S_G2.html
House,TMS2,Todd M. Smola,Republican,1st Hampden,yes,189,194,1374,305,house/members/TMS2.html
House,WJD1,William Driscoll,Democrat,7th Norfolk,no,190,193,1138,16,house/members/WJD1.html
House,EAM1,Elizabeth A. Malia,Democrat,11th Suffolk,no,189,192,936,0,house/members/EAM1.html
House,AXV1,Andres X. Vargas,Democrat,3rd Essex,yes,190,194,1373,14,house/members/AXV1.html
House,DTV1,David T. Vieira,Republican,3rd Barnstable,yes,189,194,1374,31,house/members/DTV1.html
House,MMD1,Michelle M. DuBois,Democrat,10th Plymouth,yes,189,194,1374,193,house/members/MMD1.html
House,PWM1,Paul W. Mark,Democrat,2nd Berkshire,no,189,192,936,32,house/members/PWM1.html
House,A_V1,Aaron Vega,Democrat,5th Hampden,no,189,191,655,206,house/members/A_V1.html
House,TRW1,Timothy R. Whelan,Republican,1st Barnstable,no,189,192,936,0,house/members/TRW1.html
House,JJD1,James J. Dwyer,Democrat,30th Middlesex,no,189,190,212,0,house/members/JJD1.html
House,CMM1,Christopher M. Markey,Democrat,9th Bristol,yes,189,194,1374,334,house/members/CMM1.html
House,jcv1,John C. Velis,Democrat,4th Hampden,no,189,191,386,9,house/members/jcv1.html
House,DHW1,Donald H. Wong,Republican,9th Essex,yes,189,194,1374,149,house/members/DHW1.html
House,CCD1,Carolyn C. Dykema,Democrat,8th Middlesex,no,189,192,798,229,house/members/CCD1.html
House,JBM2,Juana B. Matias,Democrat,16th Essex,no,190,190,211,0,house/members/JBM2.html
House,r_v1,RoseLee Vincent,Democrat,16th Suffolk,no,189,191,655,49,house/members/r_v1.html
House,SLG1,Susannah M. Whipps,Unenrolled,2nd Franklin,yes,189,194,1374,77,house/members/SLG1.html
House,LAE1,Lori A. Ehrlich,Democrat,8th Essex,no,189,192,795,0,house/members/LAE1.html
House,jwm1,"Joseph W. McGonagle, Jr.",Democrat,28th Middlesex,yes,189,194,1374,31,house/members/jwm1.html
