session,date,committee,name,location,status,bills_heard,event_id
188,2013-10-22 11:00,J47,Joint Committee on Community Development and Small Businesses,"TBD, Barnstable Town Hall, Barnstable",Completed,0,785
188,2013-10-22 13:00,J10,Joint Committee on Municipalities and Regional Government,"Hanover High School, 287 Cedar St., Hanover",Completed,9,790
188,2013-10-22 13:00,J13,"Joint Committee on Children, Families and Persons with Disabilities","A-2, 24 Beacon Street, Boston",Completed,14,795
188,2013-10-22 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,6,783
188,2013-10-22 13:00,J19,Joint Committee on the Judiciary,"A-2, 24 Beacon Street, Boston",Completed,59,796
188,2013-10-22 13:00,J24,Joint Committee on Health Care Financing,"A-2, 24 Beacon Street, Boston",Completed,7,797
188,2013-10-22 15:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,801
188,2013-10-23 13:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,35,804
188,2013-10-23 16:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,0,805
188,2013-10-24 10:00,J14,Joint Committee on Education,"A-2, 24 Beacon Street, Boston",Completed,31,619
188,2013-10-28 10:00,J29,Joint Committee on Higher Education,"Bridgewater State University, Ballroom - Rondileau Campus Center, Bridgewater",Completed,0,754
188,2013-10-28 10:00,S48,Senate Committee on Post Audit and Oversight,"A-2, 24 Beacon Street, Boston",Completed,0,814
188,2013-10-29 10:00,J16,Joint Committee on Public Health,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,25,793
188,2013-10-29 10:00,J37,"Joint Committee on Telecommunications, Utilities and Energy","A-2, 24 Beacon Street, Boston",Completed,9,717
188,2013-10-29 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,23,800
188,2013-10-31 10:00,J14,Joint Committee on Education,"A-2, 24 Beacon Street, Boston",Completed,25,617
188,2013-10-31 11:00,J23,Joint Committee on Public Service,"Arlington Town Hall, Auditorium, Arlington",Completed,1,730
188,2013-10-31 13:00,J14,Joint Committee on Education,"A-2, 24 Beacon Street, Boston",Completed,0,816
188,2013-10-31 13:00,J27,Joint Committee on Transportation,"A-2, 24 Beacon Street, Boston",Completed,37,799
188,2013-11-04 13:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,35,810
188,2013-11-04 16:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-1 (10:00-1:00); Room 222 (1:00-3:00), 24 Beacon Street, Boston",Completed,0,811
188,2013-11-05 10:00,J16,Joint Committee on Public Health,"A-2, 24 Beacon Street, Boston",Completed,18,794
188,2013-11-05 13:00,J13,"Joint Committee on Children, Families and Persons with Disabilities","A-2, 24 Beacon Street, Boston",Completed,14,819
188,2013-11-06 13:00,J11,Joint Committee on Financial Services,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,21,820
